Date,Close
1962-02-01,6.845124
1962-03-01,6.79095
1962-04-01,5.787126
1962-05-01,5.003187
1962-06-01,4.32441
1962-07-01,4.933078
1962-08-01,5.050988
1962-09-01,4.506055
1962-10-01,4.410453
1962-11-01,5.079669
1962-12-01,4.971319
1963-01-01,5.40153
1963-02-01,5.095602
1963-03-01,5.366475
1963-04-01,5.911409
1963-05-01,6.083493
1963-06-01,5.560867
1963-07-01,5.53856
1963-08-01,5.669216
1963-09-01,5.761632
1963-10-01,6.297004
1963-11-01,6.185468
1963-12-01,6.462715
1964-01-01,6.908859
1964-02-01,7.253027
1964-03-01,7.574888
1964-04-01,7.268961
1964-05-01,7.648184
1964-06-01,7.600382
1964-07-01,7.361377
1964-08-01,7.018802
1964-09-01,6.955067
1964-10-01,6.692161
1964-11-01,6.572658
1964-12-01,6.524857
1965-01-01,7.146272
1965-02-01,7.261791
1965-03-01,7.23789
1965-04-01,7.727852
1965-05-01,7.616316
1965-06-01,7.297642
1965-07-01,7.63225
1965-08-01,7.950924
1965-09-01,8.166029
1965-10-01,8.49267
1965-11-01,8.365201
1965-12-01,7.950924
1966-01-01,7.903123
1966-02-01,8.205864
1966-03-01,8.221797
1966-04-01,8.883047
1966-05-01,8.669933
1966-06-01,8.377151
1966-07-01,8.14412
1966-08-01,7.660134
1966-09-01,7.588432
1966-10-01,7.93499
1966-11-01,8.986616
1966-12-01,8.879063
1967-01-01,9.548279
1967-02-01,10.277247
1967-03-01,10.779159
1967-04-01,11.866635
1967-05-01,11.143642
1967-06-01,11.890535
1967-07-01,12.135516
1967-08-01,11.944312
1967-09-01,13.103489
1967-10-01,14.18499
1967-11-01,14.627151
1967-12-01,14.98566
1968-01-01,14.208891
1968-02-01,13.862333
1968-03-01,14.639101
1968-04-01,16.192638
1968-05-01,17.06501
1968-06-01,16.909657
1968-07-01,16.192638
1968-08-01,16.013384
1968-09-01,16.013384
1968-10-01,14.674952
1968-11-01,15.953633
1968-12-01,15.057361
1969-01-01,14.16109
1969-02-01,14.023662
1969-03-01,15.00956
1969-04-01,15.678776
1969-05-01,15.248566
1969-06-01,16.144836
1969-07-01,15.511472
1969-08-01,16.491396
1969-09-01,16.503345
1969-10-01,17.232313
1969-11-01,17.06501
1969-12-01,17.423517
1970-01-01,16.022346
1970-02-01,16.264339
1970-03-01,16.180689
1970-04-01,14.244742
1970-05-01,13.288719
1970-06-01,11.950287
1970-07-01,12.057839
1970-08-01,12.727055
1970-09-01,13.945985
1970-10-01,14.053537
1970-11-01,14.686902
1970-12-01,15.188815
1971-01-01,15.559273
1971-02-01,16.085087
1971-03-01,17.088909
1971-04-01,17.100861
1971-05-01,15.630975
1971-06-01,15.152964
1971-07-01,13.922084
1971-08-01,14.531549
1971-09-01,14.519598
1971-10-01,14.364245
1971-11-01,14.60325
